Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-100.060, -100.535
-100.535, -101.095
-101.095, -101.564
-101.564, -102.081
-102.081, -102.475
-102.536, -102.856
-102.856, -103.118
-103.118, -103.236
-103.236, -103.256
-103.139, -103.241
-102.915, -103.114
-102.606, -102.915
-102.296, -102.606
-101.908, -102.296
-101.567, -101.908
-101.173, -101.510
-100.797, -101.173
-100.494, -100.797
-100.166, -100.494
-99.911, -100.166
-99.639, -99.869
-99.401, -99.639
-99.219, -99.401
-99.035, -99.219
-98.898, -99.035
-98.763, -98.877
-98.651, -98.763
-98.572, -98.651
-98.499, -98.572
-98.450, -98.499
-98.409, -98.443
-98.380, -98.409
-98.368, -98.380
-98.363, -98.368
-98.363, -98.369
-98.370, -98.383
-98.383, -98.406
-98.406, -98.433
-98.433, -98.469
-98.469, -98.506
-98.513, -98.556
-98.556, -98.612
-98.612, -98.666
-98.666, -98.734
-98.734, -98.797
-98.808, -98.877
-98.877, -98.963
-98.963, -99.043
-99.043, -99.141
-99.141, -99.231
-99.247, -99.341
-99.341, -99.455
-99.455, -99.559
-99.559, -99.681
-99.681, -99.789
-99.808, -99.917
-99.917, -100.046
-100.046, -100.153
-100.153, -100.278
-100.278, -100.381
-100.398, -100.495
-100.495, -100.602
-100.602, -100.685
-100.685, -100.774
-100.774, -100.841
-100.851, -100.908
-100.908, -100.965
-100.965, -101.005
-101.005, -101.044
-101.044, -101.070
-101.074, -101.096
-101.096, -101.118
-101.118, -101.137
-101.137, -101.158
-101.158, -101.178
-101.182, -101.207
-101.207, -101.241
-101.241, -101.275
-101.275, -101.323
-101.323, -101.372
-101.380, -101.436
-101.436, -101.506
-101.506, -101.573
-101.573, -101.656
-101.656, -101.732
-101.744, -101.820
-101.820, -101.906
-101.906, -101.978
-101.978, -102.055
-102.055, -102.113
-102.123, -102.170
-102.170, -102.210
-102.210, -102.231
-102.231, -102.239
-102.229, -102.239
-102.202, -102.227
-102.156, -102.202
-102.104, -102.156
-102.034, -102.104
-101.964, -102.034
-101.876, -101.951
-101.787, -101.876
-101.712, -101.787
-101.631, -101.712
-101.567, -101.631
-101.503, -101.557
-101.456, -101.503
-101.429, -101.456
-101.416, -101.429
-101.416, -101.423
-101.426, -101.453
-101.453, -101.507
-101.507, -101.578
-101.578, -101.685
-101.685, -101.800
-101.820, -101.961
-101.961, -102.155
-102.155, -102.345
-102.345, -102.597
-102.597, -102.840
-102.883, -103.156
-103.156, -103.505
-103.505, -103.831
-103.831, -104.245
-104.245, -104.627
-104.694, -105.105
-105.105, -105.615
-105.615, -106.077
-106.077, -106.637
-106.637, -107.133
-107.217, -107.718
-107.718, -108.293
-108.293, -108.760
-108.760, -109.246
-109.246, -109.589
-109.637, -109.865
-109.865, -109.982
-109.944, -109.984
-109.740, -109.944
-109.445, -109.740
-108.995, -109.387
-108.459, -108.995
-107.958, -108.459
-107.350, -107.958
-106.823, -107.350
-106.213, -106.735
-105.617, -106.213
-105.122, -105.617
-104.565, -105.122
-104.106, -104.565
-103.593, -104.031
-103.106, -103.593
-102.706, -103.106
-102.264, -102.706
-101.903, -102.264
-101.503, -101.845
-101.126, -101.503
-100.821, -101.126
-100.485, -100.821
-100.213, -100.485
-99.917, -100.170
-99.641, -99.917
-99.420, -99.641
-99.183, -99.420
-98.996, -99.183
-98.796, -98.967
-98.616, -98.796
-98.479, -98.616
-98.335, -98.479
-98.229, -98.335
-98.124, -98.214
-98.040, -98.124
-97.983, -98.040
-97.934, -97.983
-97.909, -97.934
